Name,Manufacturer,Part#,Capacity,Interface,Cache,Form Factor,Price/GB,Rate,NumRate
Samsung  250GB 2.5" Solid State Drive (MZ-750250BW), Samsung Model 750 EVO, MZ-750250BW, 250GB, SATA 6 Gb/s, N/A, 2.5" GB/$1.00 3.13, $0.32,4.5,2
Intel 730 Series 480GB 2.5" Solid State Drive (SSDSC2BP480G4R5), Intel, SSDSC2BP480G4R5, 480GB, SATA 6 Gb/s, N/A, 2.5" SSD Controller Intel PC29AS21CA NAND Flash Type MLC (synchronous) GB/$1.00 2.03, $0.49,5.0,5
Samsung 850 Pro Series 512GB 2.5" Solid State Drive (MZ-7KE512BW), Samsung, MZ-7KE512BW, 512GB, SATA 6 Gb/s, N/A, 2.5" SSD Controller Samsung MEX NAND Flash Type 3D V-NAND GB/$1.00 2.46, $0.41,5.0,16
Samsung 850 Pro Series 1TB 2.5" Solid State Drive (MZ-7KE1T0BW), Samsung, MZ-7KE1T0BW, 1TB, SATA 6 Gb/s, N/A, 2.5" SSD Controller Samsung MEX NAND Flash Type 3D V-NAND GB/$1.00 2.42, $0.41,5.0,2
Samsung 850 Pro Series 128GB 2.5" Solid State Drive (MZ-7KE128BW), Samsung, MZ-7KE128BW, 128GB, SATA 6 Gb/s, N/A, 2.5" SSD Controller Samsung MEX NAND Flash Type 3D V-NAND GB/$1.00 1.49, $0.67,4.8,25
Samsung 850 Pro Series 256GB 2.5" Solid State Drive (MZ-7KE256BW), Samsung, MZ-7KE256BW, 256GB, SATA 6 Gb/s, N/A, 2.5" SSD Controller Samsung MEX NAND Flash Type 3D V-NAND GB/$1.00 2.06, $0.48,4.9,47
Samsung 850 EVO 500GB M.2-2280 Solid State Drive (MZ-N5E500BW), Samsung, MZ-N5E500BW, 500GB, M.2 (B+M), N/A, M.2-2280 GB/$1.00 3.21, $0.31,4.9,16
Samsung 850 EVO 2TB 2.5" Solid State Drive (MZ-75E2T0B/AM), Samsung, MZ-75E2T0B/AM, 2TB, SATA 6 Gb/s, N/A, 2.5" GB/$1.00 3.21, $0.31,0,0
Samsung 850 PRO 2TB 2.5" Solid State Drive (MZ-7KE2T0BW), Samsung, MZ-7KE2T0BW, 2TB, SATA 6 Gb/s, N/A, 2.5" GB/$1.00 2.30, $0.43,0,0
Sandisk Z400s 256GB 2.5" Solid State Drive (SD8SBAT-256G-1122), Sandisk, SD8SBAT-256G-1122, 256GB, SATA 6 Gb/s, N/A, 2.5" GB/$1.00 4.03, $0.25,5.0,4
Sandisk Z400s 128GB 2.5" Solid State Drive (SD8SBAT-128G-1122), Sandisk, SD8SBAT-128G-1122, 128GB, SATA 6 Gb/s, N/A, 2.5" GB/$1.00 3.21, $0.31,4.0,2
Western Digital Blue 1TB 3.5" 5400RPM Internal Hard Drive (WD10EZRZ), Western Digital, WD10EZRZ, 1TB, SATA 6 Gb/s, 64MB RPM 5400, 3.5" GB/$1.00 18.22, $0.055,4.0,5
Western Digital AV-GP 500GB 3.5" 5400RPM Internal Hard Drive (WD5000AVVS), Western Digital, WD5000AVVS, 500GB, SATA 3 Gb/s, 8MB RPM 5400, 3.5" GB/$1.00 12.92, $0.077,3.7,3
Seagate  500GB 2.5" 7200RPM Internal Hard Drive (ST500LM021), Seagate, ST500LM021, 500GB, SATA 6 Gb/s, 32MB RPM 7200, 2.5" GB/$1.00 11.11, $0.090,4.6,5
Western Digital Red 4TB 3.5" 5900RPM Internal Hard Drive (WD40EFRX), Western Digital, WD40EFRX, 4TB, SATA 6 Gb/s, 64MB RPM 5900, 3.5" GB/$1.00 26.69, $0.037,4.5,12
AMD Radeon R3 240GB 2.5" Solid State Drive (R3 240GB), AMD, R3 240GB(or) SSDR3SL240G, 240GB, SATA 6 Gb/s, N/A, 2.5" SSD Controller Silicon Motion SM2256KX NAND Flash Type TLC (toggle) GB/$1.00 4.08, $0.25,0,0
Western Digital Black 5TB 3.5" 7200RPM Internal Hard Drive (WD5001FZWX), Western Digital, WD5001FZWX, 5TB, SATA 6 Gb/s, 128MB RPM 7200, 3.5" GB/$1.00 22.73, $0.044,5.0,1
Samsung 840 EVO 1TB 2.5" Solid State Drive (MZ-7TE1T0BW), Samsung, MZ-7TE1T0BW, 1TB, SATA 6 Gb/s, N/A, 2.5" SSD Controller Samsung MEX NAND Flash Type TLC (toggle) GB/$1.00 2.51, $0.40,4.9,37
